label,var,n_male,n_female,U,p,cliffs_d,ci_lo,ci_hi,q_fdr_bh,p_bonf,fdr_sig,bonf_sig
Direct violence terms,sa_direct_violence_term_rate,16,34,106.5,0.0005999654821246357,-0.6084558823529411,-0.8529411764705882,-0.3224724264705883,0.008999482231869535,0.008999482231869535,True,True
Perpetrator naming,sa_perp_ref_name_rate,16,34,426.0,0.001411059802455843,0.5661764705882353,0.2977941176470588,0.8014705882352942,0.010582948518418822,0.021165897036837644,True,True
Empath: crime vocabulary,empath_crime,16,34,236.0,0.4603305452188333,-0.1323529411764706,-0.45955882352941174,0.22426470588235295,0.6277234707529545,1.0,False,False
Victim-blaming language,sa_victim_blame_direct_rate,16,34,215.0,0.2050051872016091,-0.20955882352941177,-0.4605238970588235,0.08745404411764693,0.38438472600301704,1.0,False,False
VADER affect (paragraph),vader_para_mean_compound,16,34,323.0,0.29359788129678677,0.1875,-0.1489889705882353,0.5148897058823528,0.4893298021613113,1.0,False,False
Perpetrator as active agent,sa_perp_active_agency_rate,16,34,171.5,0.03750486896478961,-0.3694852941176471,-0.6739430147058824,0.00018382352941159752,0.18752434482394806,0.5625730344718441,False,False
Victim as passive object,sa_victim_passive_object_rate,16,34,211.0,0.20430672690311646,-0.22426470588235295,-0.5727481617647059,0.125,0.38438472600301704,1.0,False,False
Empath: violence vocabulary,empath_violence,16,34,202.5,0.15127419615551788,-0.2555147058823529,-0.6104779411764706,0.08648897058823521,0.38438472600301704,1.0,False,False
Clinical/sterilizing terms,sa_clinical_legal_term_rate,16,34,193.0,0.1020860233763215,-0.29044117647058826,-0.5994485294117646,0.027665441176470504,0.38282258766120564,1.0,False,False
Credibility challenges,sa_credibility_challenge_rate,16,34,263.0,0.8577786529144813,-0.03308823529411765,-0.3494485294117647,0.27872242647058804,0.8577786529144813,1.0,False,False
Hedging density,sa_hedging_allegation_rate,16,34,247.0,0.6103702211159581,-0.09191176470588236,-0.43014705882352944,0.22058823529411764,0.662035127583863,1.0,False,False
Minimizing language,sa_minimizing_term_rate,16,34,289.0,0.15710857216582405,0.0625,0.0,0.1875,0.38438472600301704,1.0,False,False
Procedural deflection,sa_procedural_deflection_rate,16,34,264.0,0.520146436295395,-0.029411764705882353,-0.08823529411764706,0.0,0.6501830453692438,1.0,False,False
Perpetrator honorifics,sa_perp_honorific_rate,16,34,291.0,0.6178994524116055,0.06985294117647059,-0.20229779411764706,0.33106617647058806,0.662035127583863,1.0,False,False
Passive voice density,pct_passive_aux,16,34,232.0,0.4113662489387715,-0.14705882352941177,-0.46884191176470585,0.2188419117647058,0.6170493734081572,1.0,False,False
